Notes for posting,Shared,Timestamp,Contact,Organization,Email,Phone Number,Short Description of Advanced Training Opportunity (3-5 sentences),Location of Advanced Training Opportunity,Date(s) and Time(s) of Advanced Training,Any additional information:,Email Address,,,
,X,12/3/2019 14:24:04,Annie McDonnell,North Lakeland Discovery Center,annie@discoverycenter.net,715-543-2085,"The Discovery Center hosts a monthly adult education series called Nibbles n' Knowledge, on the second Thursday of the month from 5-7 pm.  Each month the program is hosted by a different local expert in the field of natural resources.  The topics range from wildlife ecology to geology to fisheries and much more.  Visit our website for a complete list of program opportunities and detailed information regarding the Nibbles n' Knowledge series - discoverycenter.net  ","Camp Jorn YMCA and North Lakeland Discovery Center, Manitowish Waters","The second Thursday of the month, 5-7 pm",,,,,
,X,12/3/2019 14:29:23,Annie McDonnell,North Lakeland Discovery Center,annie@discoverycenter.net,715-543-2085,"Knowledge at Noon is a monthly adult education program hosted by local libraries on the first Wednesday of the month.  Knowledge at Noon programs are led by the  Discovery Center education team, each month has a different topic.  Topics include; Hidden Lake Creatures, River Otters, Snowy Owls, Maple Syruping, Bog Ecology, and Wild Rice.  Visit discoverycenter.net for more information and details regarding the Knowledge at Noon program series.  ",Manitowish Waters ,"The second Wednesday of the month, from noon to 1 pm",,,,,
,X,12/3/2019 14:32:35,Annie McDonnell,North Lakeland Discovery Center,annie@discoverycenter.net,715-543-2085,MECCA Moon-shoe - Travel among the trees and shadows during this wonderful moonlit adventure on the MECCA trails.  Your guide will engage you in observing the world in a different light.  For more information visit discoverycenter.net ,"MECCA trail head, Mercer ","February 8, 2020 8:30-10:00 pm ",,,,,
,X,12/19/2019 13:36:19,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Ice Safety Hike
Learn how to test if ice is safe, what conditions are a red flag for danger, and why Lake Michigan ice is always dangerous. Led by Don Quintenz, Senior Ecologist.
Member: $10 | Non-Member: $15 
Register at https://www.schlitzaudubon.org/event/ice-safety-hike/
","Schlitz Audubon Nature Center, Milwaukee","Tuesday, January 7, 2020 1:00 PM - 2:00 PM",https://www.schlitzaudubon.org/event/ice-safety-hike/,,,,
,X,12/27/2019 11:06:59,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Bird Club: Learn about and meet some of the owls from our Raptor Program. Then, if conditions allow, we’ll go on a short hike on a search of resident owls on the grounds. Free to all. Registration required. https://www.schlitzaudubon.org/event/bird-club-9/","Schlitz Audubon Nature Center, Milwaukee","Wednesday, January 8, 2020 6:30 PM - 8:00 PM",,,,,
,X,12/27/2019 11:12:42,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Winter Tree Identification:  By using features like bark and buds rather than relying on leaves, you’ll learn ID strategies that will help you throughout the year. During this two-part series, participants will use customized materials and engage in hands-on activities to learn over 25 deciduous tree species on the property. Member: $60 | Non-Member $80 Fee is for both dates. Register at https://www.schlitzaudubon.org/event/winter-tree-identification-2/","Schlitz Audubon Nature Center, Milwaukee","Saturday, January 18 and 25, 2020 12:00 PM - 3:00 PM",,,,,
,X,12/27/2019 11:21:07,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Wandering Naturalists: We’re bringing together some of Wisconsin’s premier naturalists for a monthly series. Each month, a different naturalist will share their knowledge on a seasonal hike at Schlitz Audubon. You’ll learn many in-depth details about plants, animals, nature and ecological processes. Member: $15 | Non-Member: $20 Register at https://www.schlitzaudubon.org/event/wandering-naturalists-4/","Schlitz Audubon Nature Center, Milwaukee","Saturday, January 18, 2020 9:00 AM - 10:30 AM",,,,,
,X,12/27/2019 11:25:02,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Snow Lovers Hike: There are many winter-active animals that tolerate snow, but there also are some that depend on snow for advantages they gain. Join Senior Ecologist Don Quintenz for an exploration of how snow can hinder or help different species, and a look at some that never venture out of the snow unless forced to. Member: $10 | Non-Member: $15 Register at https://www.schlitzaudubon.org/event/snow-lovers-hike/","Schlitz Audubon Nature Center, Milwaukee","Thursday, February 6, 2020 1:00 PM - 2:00 PM",,,,,
,X,12/27/2019 11:29:16,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,Animal Signs Hike: This is the one season where the ramblings of animals are clearly left behind providing a unique opportunity to learn their ecology firsthand. Led by Don Quintenz. Member: $10 | Non-Member: $15 Register at https://www.schlitzaudubon.org/event/animal-signs-hike/,"Schlitz Audubon Nature Center, Milwaukee","Tuesday, February 11, 2020 1:00 PM - 2:00 PM",,,,,
,X,12/27/2019 12:13:16,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Wandering Naturalists: We’re bringing together some of Wisconsin’s premier naturalists for a monthly series. Each month, a different naturalist will share their knowledge on a seasonal hike at Schlitz Audubon. You’ll learn many in-depth details about plants, animals, nature and ecological processes. Member: $15 | Non-Member: $20 Register at https://www.schlitzaudubon.org/event/wandering-naturalist/","Schlitz Audubon Nature Center, Milwaukee","Saturday, February 15, 2020 9:00 AM - 10:30 AM",,,,,
,X,12/27/2019 12:21:00,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"FrogWatch USA Training: FrogWatch USA is a citizen science project that invites participants to learn about local wetlands and identify frogs and toads by their calls. Aszya Summers, Conservation Education Manager and Paul Mueller, Animal Care Specialist at the Racine Zoo will teach us how to identify species by their calls, locate and register a wetland site, and submit observations. Join us for our third year of monitoring frog populations at the Center, or learn how you can monitor frogs in your own neighborhood. Member: Free | Non-Member: $10 Register at https://www.schlitzaudubon.org/event/citizen-science-frogwatch-usa-training-2/","Schlitz Audubon Nature Center, Milwaukee","Wednesday, February 26, 2020 3:30 PM - 6:30 PM",,,,,
